CA|Sacramento|39536653|423970
LA|Baton Rouge|4684333|135382
WI|Madison|5795483|169640
UT|Salt Lake City|3101833|219887
TX|Austin|28304596|696241
TN|Nashville|6715984|109247
MN|Saint Paul|5576606|225163
PA|Harrisburg|12805537|119283
IL|Springfield|12802023|149997
MA|Boston|6859819|27337
